image_index,label,average_precision
1799,39,0.6676
1800,39,0.87202
1801,39,0.92631
1802,39,0.48382
1803,39,0.56545
1804,39,0.22282
1805,39,0.38455
1806,39,0.90795
1807,39,0.83952
1808,39,0.86134
1809,40,0.85225
1810,40,0.87395
1811,40,0.95742
1812,40,0.92774
1813,40,0.59967
1814,40,0.83385
1815,40,0.87162
1816,40,0.79373
1817,40,0.90972
1818,40,0.75726
1819,40,0.66439
1820,40,0.87485
1821,40,0.8508
1822,40,0.83199
1823,40,0.83935
1824,40,0.89147
1825,40,0.914
1826,40,0.93426
1827,40,0.87609
1828,40,0.89384
1829,40,0.87411
1830,40,0.91502
1831,40,0.86848
1832,40,0.70482
1833,40,0.89464
1834,40,0.91765
1835,40,0.81984
1836,40,0.80958
1837,40,0.7429
1838,40,0.55478
1839,40,0.89938
1840,40,0.81474
1841,40,0.80871
1842,40,0.87689
1843,40,0.91507
1844,40,0.89372
1845,40,0.89576
1846,40,0.76617
1847,40,0.92876
1848,40,0.90059
1849,40,0.75857
1850,40,0.84022
1851,40,0.89666
1852,40,0.906
1853,40,0.67999
1854,40,0.90031
1855,40,0.87979
1856,40,0.65503
1857,40,0.92969
1858,40,0.93601
1859,40,0.8624
1860,40,0.87605
1861,40,0.75448
1862,40,0.86429
1863,41,0.93258
1864,41,0.90876
1865,41,0.89578
1866,41,0.6373
1867,41,0.8404
1868,41,0.61697
1869,41,0.78222
1870,41,0.88096
1871,41,0.70368
1872,41,0.67276
1873,41,0.94483
1874,41,0.92027
1875,41,0.7264
1876,41,0.88857
1877,41,0.78778
1878,41,0.94058
1879,41,0.9774
1880,41,0.92452
1881,41,0.63613
1882,41,0.80668
1883,41,0.95897
1884,41,0.8915
1885,41,0.98402
1886,41,0.93371
1887,41,0.74502
1888,41,0.96053
1889,41,0.915
1890,41,0.93611
1891,41,0.94351
1892,41,0.91066
1893,41,0.91918
1894,41,0.94447
1895,41,0.80816
1896,41,0.94529
1897,41,0.94721
1898,41,0.93242
1899,41,0.9061
1900,41,0.94571
1901,41,0.94695
1902,41,0.85166
1903,41,0.77843
1904,41,0.9526
1905,41,0.6267
1906,41,0.86825
1907,41,0.88694
1908,41,0.9736
1909,41,0.96274
1910,41,0.93665
1911,41,0.88043
1912,41,0.94999
1913,41,0.9429
1914,41,0.92348
1915,41,0.899
1916,41,0.92512
1917,41,0.68671
1918,41,0.44078
1919,41,0.71659
1920,41,0.93821
1921,41,0.87858
1922,41,0.94837
1923,41,0.94504
1924,41,0.91584
1925,41,0.80541
1926,41,0.63514
1927,41,0.80777
1928,41,0.77041
1929,41,0.94102
1930,41,0.82516
1931,41,0.98174
1932,41,0.93953
1933,41,0.80371
1934,41,0.86522
1935,41,0.93102
1936,41,0.94755
1937,41,0.29218
1938,41,0.94333
1939,41,0.95806
1940,41,0.94994
1941,41,0.82562
1942,41,0.90655
1943,41,0.81645
1944,41,0.67627
1945,41,0.87322
1946,41,0.81065
1947,41,0.97147
1948,41,0.98032
1949,41,0.82188
1950,41,0.75332
1951,41,0.70803
1952,41,0.9224
1953,41,0.90352
1954,41,0.69476
1955,41,0.95772
1956,41,0.6776
1957,41,0.94968
1958,41,0.786
1959,41,0.91845
1960,42,0.10104
1961,42,0.96171
1962,42,0.97538
1963,42,0.97106
1964,42,0.9795
1965,42,0.82369
1966,42,0.96997
1967,42,0.9682
1968,42,0.96477
1969,42,0.9368
1970,42,0.95005
1971,42,0.97809
1972,42,0.95083
1973,42,0.962
1974,42,0.96943
1975,42,0.97682
1976,42,0.96666
1977,42,0.96685
1978,42,0.97523
1979,42,0.97031
1980,42,0.97771
1981,42,0.97122
1982,42,0.9687
1983,42,0.97335
1984,42,0.96469
1985,42,0.97664
1986,42,0.96554
1987,42,0.97762
1988,42,0.96724
1989,42,0.97935
1990,42,0.97541
1991,42,0.97482
1992,42,0.97229
1993,42,0.95146
1994,42,0.95922
1995,42,0.96176
1996,42,0.97808
1997,42,0.9594
1998,42,0.96853
1999,42,0.97936
2000,42,0.97778
2001,42,0.97728
2002,42,0.9785
2003,42,0.95058
2004,42,0.97825
2005,42,0.97669
2006,42,0.97949
2007,42,0.97147
2008,42,0.97647
2009,43,0.91635
2010,43,0.91986
2011,43,0.87059
2012,43,0.90294
2013,43,0.78583
2014,43,0.81313
2015,43,0.81382
2016,43,0.22418
2017,43,0.58507
2018,43,0.89744
2019,43,0.86007
2020,43,0.07214
2021,43,0.9073
2022,43,0.69746
2023,43,0.88232
2024,43,0.86613
2025,43,0.87992
2026,43,0.59319
2027,43,0.89971
2028,43,0.91688
2029,43,0.8743
2030,43,0.68559
2031,43,0.84332
2032,43,0.84718
2033,43,0.85132
2034,43,0.6515
2035,43,0.3866
2036,43,0.18569
2037,43,0.55777
2038,43,0.86262
2039,43,0.83112
2040,43,0.60172
2041,43,0.78179
2042,43,0.83133
2043,43,0.89378
2044,43,0.59842
2045,43,0.89167
2046,43,0.81146
2047,43,0.92761
2048,43,0.88047
2049,43,0.84094
2050,43,0.81844
2051,43,0.60859
2052,43,0.70531
2053,43,0.87169
2054,43,0.60986
2055,43,0.87871
2056,43,0.78058
2057,43,0.43379
2058,43,0.90765
2059,43,0.93723
2060,43,0.61409
2061,43,0.9116
2062,43,0.87609
2063,43,0.55216
2064,43,0.84682
2065,43,0.70547
2066,43,0.85965
2067,43,0.15053
2068,43,0.7693
2069,43,0.81246
2070,43,0.84768
2071,43,0.86205
2072,43,0.49943
2073,43,0.77062
2074,43,0.54941
2075,43,0.6857
2076,43,0.72021
2077,43,0.68415
2078,43,0.93627
2079,43,0.74346
2080,43,0.62121
2081,43,0.61827
2082,43,0.54867
2083,43,0.57046
2084,43,0.91256
2085,43,0.79765
2086,43,0.89256
2087,43,0.95066
2088,43,0.91616
2089,43,0.77733
2090,43,0.73842
2091,43,0.76262
2092,43,0.47152
2093,43,0.29958
2094,43,0.90684
2095,43,0.67118
2096,43,0.86733
2097,43,0.5208
2098,43,0.872
2099,43,0.77617
2100,43,0.60309
2101,43,0.87007
2102,43,0.79204
2103,43,0.67239
2104,43,0.72013
2105,43,0.66381
2106,43,0.66903
2107,43,0.82392
2108,43,0.89468
2109,44,0.98366
2110,44,0.99037
2111,44,0.99846
2112,44,0.97201
2113,44,0.99757
2114,44,0.97984
2115,44,0.99664
2116,44,0.97744
2117,44,0.98355
2118,44,0.98322
2119,44,0.97
2120,44,0.96454
2121,44,0.98154
2122,44,0.97769
2123,44,0.99962
2124,44,0.99944
2125,44,0.99808
2126,44,0.97847
2127,44,0.98408
2128,44,0.98702
2129,44,0.97851
2130,44,0.98595
2131,44,0.76341
2132,44,0.96472
2133,44,0.98911
2134,44,0.98787
2135,44,0.99563
2136,44,0.97956
2137,44,0.96381
2138,44,0.9707
2139,44,0.99627
2140,44,0.98545
2141,44,0.97545
2142,44,0.9817
2143,44,0.98793
