image_index,label,recall@1,recall@5,recall@10,recall@20
1813,40,0.01887,0.03774,0.11321,0.20755
1814,40,0.01887,0.09434,0.18868,0.37736
1815,40,0.01887,0.09434,0.18868,0.37736
1816,40,0.01887,0.07547,0.15094,0.32075
1817,40,0.01887,0.09434,0.18868,0.37736
1818,40,0.01887,0.09434,0.18868,0.35849
1819,40,0.01887,0.09434,0.18868,0.33962
1820,40,0.01887,0.09434,0.16981,0.33962
1821,40,0.01887,0.09434,0.18868,0.37736
1822,40,0.01887,0.09434,0.18868,0.37736
1823,40,0.01887,0.09434,0.18868,0.37736
1824,40,0.01887,0.09434,0.18868,0.37736
1825,40,0.01887,0.09434,0.18868,0.37736
1826,40,0.01887,0.09434,0.18868,0.37736
1827,40,0.01887,0.09434,0.18868,0.37736
1828,40,0.01887,0.09434,0.18868,0.37736
1829,40,0.01887,0.09434,0.18868,0.37736
1830,40,0.01887,0.09434,0.18868,0.37736
1831,40,0.01887,0.09434,0.18868,0.37736
1832,40,0.01887,0.09434,0.16981,0.33962
1833,40,0.01887,0.09434,0.18868,0.37736
1834,40,0.01887,0.09434,0.18868,0.37736
1835,40,0.01887,0.09434,0.18868,0.35849
1836,40,0.01887,0.09434,0.18868,0.37736
1837,40,0.01887,0.09434,0.18868,0.33962
1838,40,0.01887,0.0566,0.13208,0.30189
1839,40,0.01887,0.09434,0.18868,0.37736
1840,40,0.01887,0.09434,0.18868,0.35849
1841,40,0.01887,0.09434,0.18868,0.37736
1842,40,0.01887,0.09434,0.18868,0.37736
1843,40,0.01887,0.09434,0.18868,0.37736
1844,40,0.01887,0.09434,0.18868,0.37736
1845,40,0.01887,0.09434,0.18868,0.37736
1846,40,0.01887,0.09434,0.18868,0.35849
1847,40,0.01887,0.09434,0.18868,0.37736
1848,40,0.01887,0.09434,0.18868,0.37736
1849,40,0.01887,0.09434,0.18868,0.33962
1850,40,0.01887,0.09434,0.18868,0.37736
1851,40,0.01887,0.09434,0.18868,0.37736
1852,40,0.01887,0.09434,0.18868,0.37736
1853,40,0.01887,0.09434,0.16981,0.35849
1854,40,0.01887,0.09434,0.18868,0.37736
1855,40,0.01887,0.09434,0.18868,0.37736
1856,40,0.01887,0.09434,0.16981,0.32075
1857,40,0.01887,0.09434,0.18868,0.37736
1858,40,0.01887,0.09434,0.18868,0.37736
1859,40,0.01887,0.09434,0.18868,0.37736
1860,40,0.01887,0.09434,0.18868,0.37736
1861,40,0.01887,0.09434,0.18868,0.37736
1862,40,0.01887,0.09434,0.18868,0.37736
